Wall time,Step,Value
1493413921.784156,2,0.6237512826919556
1493413922.8312159,3,0.6671543717384338
1493413923.8762758,4,0.6650818586349487
1493413924.9213355,5,0.6580263376235962
1493413925.9653952,6,0.6513136625289917
1493413927.011455,7,0.6457007527351379
1493413928.0875165,8,0.6411463022232056
1493413929.1155753,9,0.6374789476394653
1493413930.162635,10,0.6345255970954895
1493413931.190694,11,0.6321396827697754
1493413932.236754,12,0.6302015781402588
1493413933.2808137,13,0.6286181211471558
1493413934.3118725,14,0.6273150444030762
1493413935.3569324,15,0.6262325048446655
1493413936.401992,16,0.6253232955932617
1493413937.4460518,17,0.6245497465133667
1493413938.4931116,18,0.6238826513290405
1493413939.5221705,19,0.6232972145080566
1493413940.5682304,20,0.6227736473083496
1493413941.6122901,21,0.6222956776618958
1493413942.6733508,22,0.623232364654541
1493413943.7184105,23,0.6225293874740601
1493413944.7804713,24,0.6219335794448853
1493413945.824531,25,0.6214066743850708
1493413946.85459,26,0.6209221482276917
1493413947.9006498,27,0.6204614639282227
1493413948.9447095,28,0.6200106143951416
1493413949.9897692,29,0.6195594668388367
1493413951.0348291,30,0.619099497795105
1493413952.0798888,31,0.6186243295669556
1493413953.1099477,32,0.6181278228759766
1493413954.1540074,33,0.6176050305366516
1493413955.1850665,34,0.6170507073402405
1493413956.2321262,35,0.616460382938385
1493413957.260185,36,0.6158297061920166
1493413958.3042448,37,0.6151576638221741
1493413959.3333037,38,0.6144423484802246
1493413960.3803637,39,0.6136783957481384
1493413961.4104226,40,0.6128612756729126
1493413962.4384813,41,0.6119889616966248
1493413963.4775407,42,0.611054539680481
1493413964.5146,43,0.6100543737411499
1493413965.5516593,44,0.6089885234832764
1493413966.6027195,45,0.6078519225120544
1493413967.6337786,46,0.6066395044326782
1493413968.6628373,47,0.6053519248962402
1493413969.6918962,48,0.603983461856842
1493413970.737956,49,0.6025320887565613
1493413971.768015,50,0.6009923815727234
1493413972.7970738,51,0.5993623733520508
1493413973.8271327,52,0.5976393818855286
1493413974.8561916,53,0.5958206653594971
1493413975.8862505,54,0.5939024686813354
1493413976.9323103,55,0.5918816924095154
1493413977.9613693,56,0.5897557139396667
1493413978.990428,57,0.5875217318534851
1493413980.021487,58,0.5851791501045227
1493413981.0495458,59,0.582728385925293
1493413982.0806048,60,0.5801671147346497
1493413983.1076634,61,0.5774941444396973
1493413984.1397226,62,0.5747072696685791
1493413985.1827822,63,0.5718037486076355
1493413986.2148411,64,0.5687816739082336
1493413987.258901,65,0.5656402111053467
1493413988.3039608,66,0.5623798370361328
1493413989.3490205,67,0.5589995384216309
1493413990.3780794,68,0.5554990172386169
1493413991.4081383,69,0.5518794059753418
1493413992.4381971,70,0.5481605529785156
1493413993.467256,71,0.5443336367607117
1493413994.497315,72,0.5404114127159119
1493413995.5263739,73,0.5363971590995789
1493413996.5564327,74,0.5323026180267334
1493413997.5854917,75,0.5281155705451965
1493413998.6155505,76,0.5238652229309082
1493413999.6436093,77,0.5195466876029968
1493414000.6756682,78,0.5151529312133789
1493414001.718728,79,0.5106974244117737
1493414002.749787,80,0.5061862468719482
1493414003.7788458,81,0.5016246438026428
1493414004.808905,82,0.4970168173313141
1493414005.8379636,83,0.4923143982887268
1493414006.8680224,84,0.4875246286392212
1493414007.9150825,85,0.4826543629169464
1493414008.958142,86,0.47771015763282776
1493414009.987201,87,0.4726983606815338
